,Year-Week,Open,Close,High,Low,Volume,Mean,SD,Label
53,2019-00,46.94,47.57,47.57,46.53,39331800.0,-0.0933333333333432,0.5318625553446905,Bad
54,2019-01,47.57,47.34,47.75,46.34,73653900.0,-0.14400000000000404,0.41108636562162987,Good
55,2019-02,47.25,47.61,47.69,46.81,64570300.0,-0.02400000000000375,0.4203998097050003,Good
56,2019-03,47.7,47.37,48.29,47.21,46097200.0,-0.14500000000000668,0.3840898332421753,Good
57,2019-04,47.22,48.7,48.78,46.94,86229600.0,0.13599999999999568,0.24131307465614216,Good
58,2019-05,48.7,49.5,49.5,48.54,56307800.0,0.317999999999995,0.25145973832802443,Good
59,2019-06,49.57,45.24,49.94,45.2,127708400.0,0.0019999999999953393,0.5846263764148825,Bad
60,2019-07,45.32,45.28,45.95,44.77,100824900.0,0.022499999999995524,0.5578138130236646,Bad
61,2019-08,45.44,45.38,45.64,44.42,100890600.0,-0.07000000000000313,0.3325958508460388,Good
62,2019-09,45.53,44.84,45.79,44.61,70931300.0,-0.20400000000000204,0.16746342884343413,Good
63,2019-10,45.14,45.3,46.34,45.1,123456500.0,-0.07000000000000453,0.5317894320123343,Bad
64,2019-11,45.43,45.93,46.11,45.18,91468400.0,0.043999999999995515,0.19910801088856425,Good
65,2019-12,45.86,46.86,46.92,45.79,61813400.0,0.18199999999999505,0.2058931761860978,Good
66,2019-13,46.99,46.47,47.17,46.04,48364700.0,0.06799999999999215,0.2381344158243359,Good
67,2019-14,46.54,46.74,47.0,46.27,44165400.0,0.08599999999999143,0.15165750888102794,Good
68,2019-15,46.88,47.48,47.58,46.7,45082200.0,0.16999999999998927,0.1448274835795923,Good
69,2019-16,47.4,48.26,48.72,47.02,72758500.0,0.22399999999998954,0.17524839514243087,Good
70,2019-17,48.17,48.72,49.18,48.11,53997100.0,0.3039999999999893,0.3810196845308592,Good
71,2019-18,48.33,48.19,48.61,47.07,51531000.0,0.3219999999999913,0.5179498045177668,Good
72,2019-19,47.91,49.2,49.66,47.73,69206500.0,0.5319999999999894,0.3752918864030957,Good
73,2019-20,49.04,49.61,49.9,48.45,59575300.0,0.6159999999999897,0.7070275807915753,Good
74,2019-21,49.6,49.13,49.67,48.41,51604400.0,0.7774999999999874,0.8567489422228549,Good
75,2019-22,49.16,51.49,52.19,49.02,72499400.0,1.0419999999999916,0.7152929469804574,Good
76,2019-23,51.54,51.31,52.14,50.78,49788400.0,0.9999999999999928,1.0635882662007807,Good
77,2019-24,51.25,51.55,51.89,50.47,62878600.0,0.9539999999999906,1.0833577433147303,Good
78,2019-25,51.74,50.92,52.2,50.52,63419800.0,0.7499999999999887,0.9756126280445444,Good
79,2019-26,51.07,52.11,52.33,50.78,39715600.0,1.199999999999985,0.9512228971171656,Good
80,2019-27,52.2,52.12,52.33,51.43,45424800.0,0.8819999999999879,0.9648087893463538,Good
81,2019-28,52.28,51.39,52.47,51.37,43540600.0,0.7279999999999888,0.9370314829289242,Good
82,2019-29,51.52,54.17,54.82,51.13,91728900.0,0.8699999999999875,0.992330590075698,Good
83,2019-30,54.17,52.33,54.3,51.91,69873800.0,0.5439999999999884,0.98553741684422,Good
84,2019-31,52.39,53.42,53.9,51.4,77886500.0,0.6799999999999884,0.8111966469358627,Good
85,2019-32,53.28,54.41,54.49,52.87,57130600.0,0.8879999999999881,0.7698155623264473,Good
86,2019-33,54.44,53.74,54.78,53.39,51627700.0,0.6979999999999904,0.999411827026266,Good
87,2019-34,54.0,55.04,55.34,53.73,50819800.0,0.8339999999999904,0.7611228547350204,Good
88,2019-35,54.98,55.23,55.92,54.76,46480000.0,1.0174999999999876,1.1252249775044882,Good
89,2019-36,55.03,54.26,55.31,53.85,56437500.0,0.7999999999999915,0.8808972698334263,Good
90,2019-37,54.1,53.91,54.7,53.63,58991600.0,0.7079999999999913,0.8820748267579045,Good
91,2019-38,53.91,54.31,54.64,53.88,44797800.0,0.6439999999999927,0.7325353233803731,Good
92,2019-39,54.15,54.54,54.78,52.82,61526700.0,0.6759999999999919,0.8776286230519101,Good
93,2019-40,54.33,53.3,54.36,53.2,44326400.0,0.4299999999999898,0.7030504960527296,Good
94,2019-41,53.49,54.78,55.39,53.13,58638100.0,0.3899999999999892,0.4512870483406226,Good
95,2019-42,54.45,53.75,54.82,53.67,51702700.0,0.23399999999998894,0.6016011968073119,Good
96,2019-43,53.74,53.9,54.74,53.16,49357500.0,0.2359999999999857,0.4966407152056656,Good
97,2019-44,53.96,52.21,54.0,51.96,68954900.0,-0.13600000000001558,0.4389441877961167,Good
98,2019-45,52.33,52.67,52.68,51.58,50755800.0,-0.2020000000000138,0.28795833031882045,Good
99,2019-46,52.68,53.03,53.44,52.67,55401200.0,-0.13800000000001375,0.2656087347961388,Good
100,2019-47,53.28,53.4,54.1,52.77,41000800.0,-0.11000000000001896,0.36928985905384093,Good
101,2019-48,53.32,54.42,54.5,52.85,63207700.0,0.13199999999998369,0.2201454064930799,Good
102,2019-49,54.3,54.42,54.55,53.66,56065700.0,0.15599999999998745,0.3024698332065459,Good
103,2019-50,54.69,54.97,55.2,53.89,71118900.0,0.0439999999999884,0.3452419441493127,Good
104,2019-51,55.0,55.35,55.45,54.64,25784100.0,0.11999999999998677,0.18506755523321444,Good
